STATE,PKG_ENERGY,RAM_ENERGY,POLL_RES,C1_RES,C1E_RES,C3_RES,C6_RES
0,219.56,60.86,41685,123101,227742,2495,853351
1,223.68,61.03,41685,123433,228046,3436,879118
2,221.97,60.90,41738,123445,228455,4420,905465
3,220.99,60.52,41743,123445,228959,5401,931414
4,219.79,60.43,41751,123714,229160,6433,957458
5,219.10,59.83,41753,124188,229160,7382,983541
6,223.02,60.24,42281,124256,229160,8581,1010089
7,220.50,60.45,42295,124256,229160,10020,1036087
8,221.28,60.13,42416,124356,229822,10701,1062346
9,218.51,59.84,42416,124589,231237,10701,1088347
10,219.23,60.09,42461,124598,232693,10701,1114872
11,219.32,60.17,42465,124598,234196,10701,1141286
12,219.02,60.23,42479,125347,234632,10701,1166838
13,218.76,60.30,42479,126772,234632,10701,1192344
14,218.20,60.30,43396,127132,234632,10701,1218062
15,219.62,60.66,43465,127132,234632,10701,1245334
16,358.70,60.29,43640,127518,234941,25048,1256949
17,358.09,60.13,43641,127692,235237,51144,1256949
18,357.49,59.78,43681,127701,235668,77631,1256949
19,358.34,59.65,43686,127701,236157,104638,1256949
20,357.89,59.66,44084,128057,236292,131487,1256949
21,360.38,60.04,44085,128358,236292,157852,1256949
22,362.30,60.49,44256,128409,236292,184272,1256949
23,361.45,60.25,44269,128409,236292,211174,1256949
24,732.48,96.38,44330,128633,253050,220543,1256949
25,740.18,96.49,44330,129001,279551,220543,1256949
26,750.76,96.26,44404,129018,306189,220543,1256949
27,733.08,95.78,44405,129018,332884,220543,1256949
28,732.13,95.89,44480,149104,340412,220543,1256949
29,733.83,95.25,44480,176391,340412,220543,1256949
30,2377.67,95.19,2059600,180720,340412,220543,1256949
31,2405.53,95.34,4083515,180720,340412,220543,1256949
